source,target,weight,bits
A0A6C0KWD2,A0A6C0HQM4,0.385,211
A0A6C0KWD2,A0A6C0B3Y6,0.385,210
A0A6C0KWD2,A0A6C0DRP4,0.4,209
A0A6C0KWD2,A0A6C0D834,0.375,205
A0A6C0KWD2,A0A6C0F7I1,0.376,205
A0A6C0KWD2,A0A6C0B911,0.378,205
A0A6C0KWD2,A0A6C0JAK9,0.37,205
A0A6C0KWD2,A0A6C0BC56,0.377,204
A0A6C0KWD2,A0A6C0B248,0.373,203
A0A6C0KWD2,A0A6C0D598,0.371,202
A0A6C0KWD2,A0A6C0LDL2,0.373,201
A0A6C0KWD2,A0A6C0JJL0,0.364,200
A0A6C0KWD2,A0A6C0C3J4,0.368,199
A0A6C0KWD2,A0A6C0CQ84,0.367,198
A0A6C0KWD2,A0A6C0F3T9,0.369,197
A0A6C0KWD2,A0A6C0CK20,0.361,196
A0A6C0KWD2,A0A6C0AXS7,0.36,193
A0A6C0KWD2,A0A6C0LKA9,0.361,192
A0A6C0KWD2,A0A6C0ASE4,0.363,192
A0A6C0KWD2,A0A6C0AUP9,0.358,191
A0A6C0KWD2,A0A6C0C4N0,0.354,191
A0A6C0KWD2,A0A6C0CXA7,0.357,189
A0A6C0KWD2,A0A6C0ETN6,0.372,189
A0A6C0KWD2,A0A6C0E7Y7,0.352,188
A0A6C0KWD2,A0A6C0EFD9,0.352,186
A0A6C0KWD2,A0A6C0DLZ7,0.351,186
A0A6C0KWD2,A0A6C0AR55,0.309,183
A0A6C0KWD2,A0A6C0H329,0.362,181
A0A6C0KWD2,A0A6C0BXB1,0.346,179
A0A6C0KWD2,A0A6C0H424,0.327,170
A0A6C0KWD2,A0A6C0D714,0.318,168
A0A6C0KWD2,A0A6C0KP26,0.31,162
A0A644TTV5,A0A644TZ87,0.695,650
A0A644TTV5,A0A644YGI6,0.573,514
A0A644TTV5,A0A5J4RD69,0.563,496
A0A644TTV5,A0A5J4RSB5,0.562,495
A0A644TTV5,A0A644VAA7,0.562,491
A0A644TTV5,A0A644Z1I5,0.564,490
A0A644TTV5,A0A5J4RLZ5,0.544,477
A0A644TTV5,A0A5J4S2M0,0.543,471
A0A644TTV5,A0A5J4R632,0.56,469
A0A644TTV5,A0A5J4RMY9,0.539,469
A0A644TTV5,A0A5J4SQP5,0.533,464
A0A644TTV5,A0A5J4RGF7,0.527,460
A0A644TTV5,A0A5J4RAH0,0.535,458
A0A644TTV5,A0A5J4ST39,0.522,455
A0A644TTV5,J9G945,0.444,437
A0A644TTV5,J9GUP8,0.439,429
A0A644TTV5,J9GKY5,0.432,418
A0A644TTV5,J9D059,0.5,416
A0A644TTV5,A0A644WB33,0.464,391
A0A644TTV5,D9PEU5,0.454,378
A0A644TTV5,A0A644X3D0,0.442,367
A0A644TTV5,A0A3B0U7R6,0.441,365
A0A644TTV5,A0A644YC72,0.438,360
A0A644TTV5,A0A5J4R5H0,0.552,358
A0A644TTV5,A0A5J4PYV6,0.531,344
A0A644TTV5,A0A644V8K5,0.434,341
A0A644TTV5,A0A644V8Y5,0.375,295
A0A644TTV5,A0A5J4Q1M0,0.531,287
A0A644TTV5,A0A5J4PMB9,0.523,266
A0A644TTV5,A0A5J4PVG7,0.544,205
A0A644TTV5,A0A645G851,0.565,205
A0A644TTV5,K1U1E7,0.511,196
A0A644TTV5,K1RQ62,0.446,170
A0A644TTV5,A0A5J4Q1Q4,0.388,162
A0A644TTV5,X1SXZ0,0.359,147
A0A644TTV5,A0A0F9RZA5,0.336,124
A0A644TTV5,X1H9X9,0.347,121
A0A644TTV5,K1V2N0,0.444,108
A0A644TTV5,D9PIE9,0.314,97
A0A644UBJ1,A0A0F9EBG8,0.34,145
A0A6C0C4N0,A0A6C0CQ84,0.473,861
A0A6C0C4N0,A0A6C0AXS7,0.47,859
A0A6C0C4N0,A0A6C0LKA9,0.456,856
A0A6C0C4N0,A0A6C0CXA7,0.476,855
A0A6C0C4N0,A0A6C0CK20,0.472,847
A0A6C0C4N0,A0A6C0HQM4,0.461,844
A0A6C0C4N0,A0A6C0D834,0.434,837
A0A6C0C4N0,A0A6C0BC56,0.455,831
A0A6C0C4N0,A0A6C0LDL2,0.451,830
A0A6C0C4N0,A0A6C0BXB1,0.446,818
A0A6C0C4N0,A0A6C0B248,0.431,818
A0A6C0C4N0,A0A6C0AR55,0.428,812
A0A6C0C4N0,A0A6C0ESH1,0.441,811
A0A6C0C4N0,A0A6C0B911,0.447,809
A0A6C0C4N0,A0A6C0B3Y6,0.452,806
A0A6C0C4N0,A0A6C0I8D9,0.439,803
A0A6C0C4N0,A0A6C0DLZ7,0.413,801
A0A6C0C4N0,A0A6C0E9T3,0.423,797
A0A6C0C4N0,A0A6C0EFD9,0.413,797
A0A6C0C4N0,A0A6C0F7I1,0.436,796
A0A6C0C4N0,A0A6C0E7Y7,0.414,781
A0A6C0C4N0,A0A6C0DLX9,0.41,775
A0A6C0C4N0,A0A6C0H329,0.426,769
A0A6C0C4N0,A0A6C0F3T9,0.402,766
A0A6C0C4N0,A0A6C0ETN6,0.38,753
A0A6C0C4N0,A0A6C0LR39,0.398,747
A0A6C0C4N0,A0A6C0ASE4,0.382,740
A0A6C0C4N0,A0A6C0DRP4,0.391,739
A0A6C0C4N0,A0A6C0KI02,0.386,732
A0A6C0C4N0,A0A6C0D598,0.371,696
A0A6C0C4N0,A0A6C0JAK9,0.373,692
A0A6C0C4N0,A0A6C0JJL0,0.353,689
A0A6C0C4N0,A0A6C0C3J4,0.357,685
A0A6C0C4N0,A0A6C0H424,0.345,670
A0A6C0C4N0,A0A6C0D714,0.374,664
A0A6C0C4N0,A0A6C0KP26,0.364,654
A0A6C0C4N0,A0A6C0AUP9,0.393,646
A0A6C0C4N0,A0A6C0KWD2,0.354,191
A0A6C0C4N0,A0A6C0LUF2,0.323,156
A0A2P2CF46,A0A2P2CJE0,0.751,524
A0A2P2CF46,A0A6J6F845,0.655,446
A0A2P2CF46,A0A381RRI3,0.618,408
A0A2P2CF46,A0A0W8G662,0.435,268
A0A2P2CF46,A0A6J6G9W7,0.433,267
A0A2P2CF46,A0A380TGZ6,0.436,263
A0A2P2CF46,A0A6J6ENE8,0.429,259
A0A2P2CF46,A0A6J6C6I2,0.419,259
A0A2P2CF46,A0A645BL16,0.425,255
A0A2P2CF46,A0A6J6CMA0,0.416,254
A0A2P2CF46,A0A6J6DT46,0.418,252
A0A2P2CF46,A0A644VAT7,0.415,250
A0A2P2CF46,A0A484H950,0.412,243
A0A2P2CF46,A0A644YVS3,0.408,241
A0A2P2CF46,A0A381RMW8,0.407,241
A0A2P2CF46,A0A382ARZ7,0.403,235
A0A2P2CF46,A0A382GPZ3,0.389,229
A0A2P2CF46,A0A6J6C905,0.435,224
A0A2P2CF46,A0A381RJX3,0.381,220
A0A2P2CF46,A0A381Q4W5,0.373,214
A0A2P2CF46,A0A382FIY4,0.379,196
A0A2P2CF46,A0A382BJ82,0.35,196
A0A2P2CF46,A0A645FCJ9,0.391,186
A0A381WW96,A0A381RN53,0.841,940
A0A381WW96,A0A0W8F8K3,0.371,276
A0A381WW96,A0A098E9E5,0.352,233
A0A382HM80,A0A645FLN7,0.397,142
A0A382HM80,A0A2P2C2E2,0.386,137
A0A382HM80,A0A6J6DF89,0.358,124
A0A382HM80,A0A644YXH7,0.352,115
A0A644TXX6,A0A381UCT6,0.383,334
A0A644TXX6,A0A381XCR9,0.368,317
A0A644TXX6,A0A381PLY7,0.354,306
A0A644TXX6,A0A382AZ99,0.352,293
A0A644TXX6,A0A381UR02,0.346,290
A0A644TXX6,A0A381QL30,0.336,273
A0A644TXX6,A0A381MYX2,0.325,256
A0A644TXX6,A0A644WZL8,0.306,235
A0A644TXX6,A0A381R409,0.309,234
A0A644TXX6,A0A381QM57,0.301,232
A0A644TXX6,A0A381NCE6,0.302,224
A0A644YA67,A0A644TRC4,0.623,441
A0A644YA67,A0A380TBA3,0.404,254
A0A644YA67,A0A644SJ42,0.386,235
A0A644YA67,A0A2H9T5M4,0.374,228
A0A644YA67,A0A645E2X7,0.373,223
A0A644YA67,A0A645AWC4,0.372,195
A0A644YA67,A0A645AV80,0.389,120
A0A644YA67,A0A645H856,0.341,67
A0A644YA67,A0A645GYK9,0.481,61
A0A6J5YPW5,A0A6J6CA11,0.92,1702
A0A6J5YPW5,A0A094Q8E9,0.87,1598
A0A6J5YPW5,A0A6J6H2S2,0.826,1504
A0A6J5YPW5,A0A381U828,0.591,1012
A0A645AKM6,A0A644WK33,0.821,411
A0A645AKM6,A0A382EH67,0.475,139
A0A645AKM6,A0A2H9TC77,0.469,136
A0A645AKM6,A0A381UC56,0.495,124
A0A645AKM6,A0A381Q3L6,0.471,124
A0A645AKM6,A0A644T609,0.422,97
A0A645AKM6,W1Y3N0,0.436,95
A0A645AKM6,T1BLP3,0.372,95
A0A645AKM6,A0A0F9JGS9,0.401,91
A0A645AKM6,A0A6J6GDA8,0.354,87
A0A645AKM6,X0Z276,0.359,85
A0A6C0ESH1,A0A6C0AR55,0.608,1336
A0A6C0ESH1,A0A6C0HQM4,0.607,1212
A0A6C0ESH1,A0A6C0D834,0.595,1200
A0A6C0ESH1,A0A6C0LDL2,0.599,1197
A0A6C0ESH1,A0A6C0BC56,0.604,1195
A0A6C0ESH1,A0A6C0I8D9,0.589,1177
A0A6C0ESH1,A0A6C0F7I1,0.59,1171
A0A6C0ESH1,A0A6C0B248,0.567,1166
A0A6C0ESH1,A0A6C0EFD9,0.568,1143
A0A6C0ESH1,A0A6C0DLZ7,0.569,1138
A0A6C0ESH1,A0A6C0E7Y7,0.555,1126
A0A6C0ESH1,A0A6C0E9T3,0.556,1107
A0A6C0ESH1,A0A6C0B3Y6,0.57,1105
A0A6C0ESH1,A0A6C0B911,0.563,1091
A0A6C0ESH1,A0A6C0DLX9,0.546,1090
A0A6C0ESH1,A0A6C0CXA7,0.525,1067
A0A6C0ESH1,A0A6C0CK20,0.554,1067
A0A6C0ESH1,A0A6C0H329,0.544,1059
A0A6C0ESH1,A0A6C0ASE4,0.507,1052
A0A6C0ESH1,A0A6C0LR39,0.507,1049
A0A6C0ESH1,A0A6C0ETN6,0.484,1047
A0A6C0ESH1,A0A6C0DRP4,0.505,1045
A0A6C0ESH1,A0A6C0KI02,0.504,1042
A0A6C0ESH1,A0A6C0F3T9,0.522,1039
A0A6C0ESH1,A0A6C0CQ84,0.535,1019
A0A6C0ESH1,A0A6C0LKA9,0.517,1007
A0A6C0ESH1,A0A6C0BXB1,0.525,998
A0A6C0ESH1,A0A6C0D598,0.485,997
A0A6C0ESH1,A0A6C0AXS7,0.521,988
A0A6C0ESH1,A0A6C0JJL0,0.447,957
A0A6C0ESH1,A0A6C0JAK9,0.431,847
A0A6C0ESH1,A0A6C0C3J4,0.419,847
A0A6C0ESH1,A0A6C0C4N0,0.444,811
A0A6C0ESH1,A0A6C0D714,0.414,762
A0A6C0ESH1,A0A6C0KP26,0.407,761
A0A6C0ESH1,A0A6C0H424,0.384,751
A0A6C0ESH1,A0A6C0AUP9,0.421,746
A0A6C0ESH1,A0A6C0KWD2,0.391,213
A0A6P2CSW9,A0A6C2YHS8,0.452,210
A0A2H9TBZ9,A0A381Q0T0,0.579,204
A0A2H9TBZ9,A0A381PM74,0.549,201
A0A2H9TBZ9,A0A381ZVK2,0.555,195
A0A2H9TBZ9,A0A381YCQ9,0.501,179
A0A2H9TBZ9,A0A484RFP6,0.499,174
A0A2H9TBZ9,A0A644TR86,0.499,174
A0A2H9TBZ9,A0A381YI49,0.586,166
A0A2H9TBZ9,A0A383EVV5,0.552,164
A0A2H9TBZ9,A0A382BSA6,0.468,164
A0A2H9TBZ9,A0A382JQW3,0.452,161
A0A2H9TBZ9,A0A381UKZ5,0.447,158
A0A2H9TBZ9,A0A381XUL9,0.453,156
A0A2H9TBZ9,A0A381TAP7,0.458,156
A0A2H9TBZ9,A0A382WL77,0.449,155
A0A2H9TBZ9,A0A644ZDJ2,0.431,154
A0A2H9TBZ9,A0A644XIS9,0.44,154
A0A2H9TBZ9,A0A381NTP3,0.44,150
A0A2H9TBZ9,A0A6J6F1Z8,0.424,149
A0A2H9TBZ9,A0A644WAX3,0.431,149
A0A2H9TBZ9,A0A6J6AEE3,0.432,149
A0A2H9TBZ9,A0A6J6ASR3,0.433,148
A0A2H9TBZ9,A0A645BU40,0.428,147
A0A2H9TBZ9,A0A094PXK9,0.424,147
A0A2H9TBZ9,A0A6J6BED1,0.426,145
A0A2H9TBZ9,A0A382TN05,0.405,144
A0A2H9TBZ9,A0A382AXX9,0.426,143
A0A2H9TBZ9,A0A6J5ZBM4,0.42,143
A0A2H9TBZ9,A0A381SM42,0.419,143
A0A2H9TBZ9,A0A381Z5C4,0.418,142
A0A2H9TBZ9,A0A644YX24,0.416,135
A0A2H9TBZ9,A0A382BC58,0.386,134
A0A2H9TBZ9,A0A6J5ZDS3,0.387,132
A0A2H9TBZ9,A0A380TAR9,0.399,132
A0A2H9TBZ9,A0A094PRH3,0.389,131
A0A2H9TBZ9,A0A382YNP5,0.383,131
A0A2H9TBZ9,A0A645G9J6,0.386,130
A0A2H9TBZ9,A0A381RUV8,0.381,130
A0A2H9TBZ9,A0A2P2C6S4,0.377,128
A0A2H9TBZ9,A0A6J6CM05,0.397,128
A0A2H9TBZ9,A0A2P2C335,0.386,127
A0A2H9TBZ9,A0A645B269,0.377,125
A0A2H9TBZ9,A0A381UMH9,0.355,121
A0A2H9TBZ9,A0A6J6BMV8,0.355,119
A0A2H9TBZ9,A0A382BJP1,0.349,117
A0A2H9TBZ9,A0A6J6FLY4,0.344,114
A0A2H9TBZ9,A0A6J6D5R5,0.364,113
A0A2H9TBZ9,A0A382J1X9,0.33,106
A0A2H9TBZ9,A0A382X5I9,0.362,105
A0A2H9TBZ9,A0A381QJF2,0.366,101
A0A2H9TBZ9,A0A381W471,0.316,92
A0A381RW23,A0A381SC57,0.66,398
A0A381RW23,A0A381RW63,0.543,316
A0A381RW23,A0A6J5ZEX1,0.522,299
A0A381RW23,A0A381VFE6,0.485,274
A0A381RW23,A0A382GMT6,0.497,266
A0A381RW23,A0A381Y5A0,0.483,263
A0A381RW23,A0A382D7U8,0.453,245
A0A381RW23,A0A381NR38,0.449,239
A0A381RW23,A0A382RT59,0.486,231
A0A381RW23,A0A381TYK3,0.397,200
A0A381RW23,A0A382E8L3,0.391,198
A0A381RW23,A0A0W8F1J4,0.385,195
A0A381RW23,A0A380TET7,0.417,192
A0A381RW23,A0A381TW63,0.396,188
A0A381RW23,A0A644Z1Q8,0.519,183
A0A381RW23,A0A484SGW9,0.364,183
A0A381RW23,A0A098EB84,0.37,175
A0A381RW23,A0A381ZHP8,0.377,169
A0A381YCQ9,A0A382BSA6,0.499,183
A0A381YCQ9,A0A2H9TBZ9,0.5,179
A0A381YCQ9,A0A381XUL9,0.484,169
A0A381YCQ9,A0A381Z5C4,0.472,169
A0A381YCQ9,A0A381NTP3,0.48,167
A0A381YCQ9,A0A381PM74,0.477,167
A0A381YCQ9,A0A6J6BED1,0.471,164
A0A381YCQ9,A0A381UKZ5,0.463,160
A0A381YCQ9,A0A6J6F1Z8,0.456,160
A0A381YCQ9,A0A381ZVK2,0.474,156
A0A381YCQ9,A0A381Q0T0,0.453,156
A0A381YCQ9,A0A383EVV5,0.519,153
A0A381YCQ9,A0A382YNP5,0.423,151
A0A381YCQ9,A0A644TR86,0.446,149
A0A381YCQ9,A0A381TAP7,0.427,149
A0A381YCQ9,A0A645B269,0.425,147
A0A381YCQ9,A0A644YX24,0.423,146
A0A381YCQ9,A0A6J6CM05,0.422,145
A0A381YCQ9,A0A6J5ZDS3,0.418,142
A0A381YCQ9,A0A381YI49,0.529,141
A0A381YCQ9,A0A094PXK9,0.411,139
A0A381YCQ9,A0A382TN05,0.4,137
A0A381YCQ9,A0A382JQW3,0.419,136
A0A381YCQ9,A0A6J5ZBM4,0.395,136
A0A381YCQ9,A0A6J6AEE3,0.397,136
A0A381YCQ9,A0A6J6BMV8,0.387,135
A0A381YCQ9,A0A381SM42,0.402,134
A0A381YCQ9,A0A6J6ASR3,0.39,134
A0A381YCQ9,A0A6J6FLY4,0.384,134
A0A381YCQ9,A0A382BJP1,0.376,131
A0A381YCQ9,A0A381QJF2,0.452,130
A0A381YCQ9,A0A644ZDJ2,0.39,130
A0A381YCQ9,A0A644XIS9,0.388,129
A0A381YCQ9,A0A382WL77,0.39,128
A0A381YCQ9,A0A2P2C335,0.388,127
A0A381YCQ9,A0A382AXX9,0.393,126
A0A381YCQ9,A0A2P2C6S4,0.374,126
A0A381YCQ9,A0A6J6D5R5,0.378,124
A0A381YCQ9,A0A644WAX3,0.369,123
A0A381YCQ9,A0A484RFP6,0.375,122
A0A381YCQ9,A0A381RUV8,0.364,121
A0A381YCQ9,A0A645G9J6,0.371,121
A0A381YCQ9,A0A645BU40,0.378,120
A0A381YCQ9,A0A094PRH3,0.373,117
A0A381YCQ9,A0A380TAR9,0.362,114
A0A381YCQ9,A0A381UMH9,0.348,114
A0A381YCQ9,A0A382BC58,0.346,113
A0A381YCQ9,A0A382X5I9,0.375,109
A0A381YCQ9,A0A382J1X9,0.335,103
A0A382K9J8,A0A381SMQ5,0.356,87
A0A382K9J8,A0A381R1A3,0.322,83
A0A6P2D906,A0A6P2CY33,0.926,1023
A0A6P2D906,A0A6P2DLR7,0.384,325
A0A6P2D906,A0A6P2D7U5,0.317,135
A0A381NGK5,A0A381YU30,0.589,915
A0A381NGK5,A0A6J5YC23,0.55,803
A0A381NGK5,A0A381PNN2,0.537,786
A0A381NGK5,A0A2P2C8S3,0.487,716
A0A381NGK5,A0A2P2C682,0.478,716
A0A644Z1Q8,A0A381VFE6,0.637,235
A0A644Z1Q8,A0A381Y5A0,0.631,233
A0A644Z1Q8,A0A382GMT6,0.64,225
A0A644Z1Q8,A0A381NR38,0.576,204
A0A644Z1Q8,A0A381SC57,0.558,201
A0A644Z1Q8,A0A382D7U8,0.531,188
A0A644Z1Q8,A0A6J5ZEX1,0.528,187
A0A644Z1Q8,A0A381RW23,0.516,182
A0A644Z1Q8,A0A382RT59,0.659,181
A0A644Z1Q8,A0A382E8L3,0.499,168
A0A644Z1Q8,A0A381RW63,0.483,168
A0A644Z1Q8,A0A484SGW9,0.421,137
A0A644Z1Q8,A0A0W8F1J4,0.416,126
A0A644Z1Q8,A0A098EB84,0.415,125
A0A644Z1Q8,A0A381TYK3,0.38,116
A0A644Z1Q8,A0A380TET7,0.42,112
A0A644Z1Q8,A0A381TW63,0.363,107
A0A644Z1Q8,A0A381ZHP8,0.359,91
A0A6A7S9U7,A0A381S6T6,0.679,1448
A0A6A7S9U7,A0A380TBJ6,0.633,1331
A0A6A7S9U7,A0A381SJ02,0.596,1241
A0A6A7S9U7,A0A2P2BYA8,0.552,1144
A0A6A7S9U7,A0A644TEG1,0.5,974
A0A6A7S9U7,A0A644SXT0,0.496,956
A0A6A7S9U7,A0A6C0ED38,0.388,698
A0A6A7S9U7,A0A645A5Y7,0.39,182
A0A6A7S9U7,A0A2P2C6R2,0.302,51
A0A5J4PVG7,A0A5J4RGF7,0.948,386
A0A5J4PVG7,A0A5J4ST39,0.894,358
A0A5J4PVG7,A0A5J4RAH0,0.883,347
A0A5J4PVG7,A0A5J4R632,0.798,316
A0A5J4PVG7,A0A5J4RSB5,0.792,313
A0A5J4PVG7,A0A5J4RD69,0.786,311
A0A5J4PVG7,A0A5J4S2M0,0.778,307
A0A5J4PVG7,A0A5J4RLZ5,0.779,306
A0A5J4PVG7,A0A5J4SQP5,0.773,304
A0A5J4PVG7,A0A5J4R5H0,0.772,304
A0A5J4PVG7,A0A5J4RMY9,0.769,303
A0A5J4PVG7,A0A644Z1I5,0.647,246
A0A5J4PVG7,A0A644VAA7,0.647,246
A0A5J4PVG7,A0A645G851,0.642,233
A0A5J4PVG7,J9D059,0.604,227
A0A5J4PVG7,A0A644YGI6,0.584,225
A0A5J4PVG7,A0A644TZ87,0.553,210
A0A5J4PVG7,A0A644TTV5,0.548,207
A0A5J4PVG7,J9GKY5,0.512,182
A0A5J4PVG7,J9G945,0.512,182
A0A5J4PVG7,J9GUP8,0.507,180
A0A5J4PVG7,A0A5J4PYV6,0.975,169
A0A5J4PVG7,A0A3B0U7R6,0.459,165
A0A5J4PVG7,A0A644WB33,0.46,162
A0A5J4PVG7,D9PEU5,0.445,157
A0A5J4PVG7,A0A644X3D0,0.441,155
A0A5J4PVG7,A0A644YC72,0.399,136
A0A5J4PVG7,A0A644V8K5,0.393,134
A0A5J4PVG7,X1H9X9,0.36,125
A0A5J4PVG7,A0A644V8Y5,0.372,120
A0A5J4PVG7,K1RQ62,0.411,117
A0A5J4PVG7,A0A0F9RZA5,0.34,100
A0A5J4PVG7,D9PIE9,0.314,83
A0A644Z2Q0,A0A645G7P2,0.594,50
A0A644Z2Q0,A0A381SMQ5,0.463,42
A0A644Z2Q0,A0A645IMC5,0.481,40
A0A644Z2Q0,A0A381R1A3,0.428,34
A0A6J6G9W7,A0A6J6ENE8,0.771,548
A0A6J6G9W7,A0A6J6DT46,0.768,544
A0A6J6G9W7,A0A6J6C6I2,0.669,469
A0A6J6G9W7,A0A6J6CMA0,0.667,468
A0A6J6G9W7,A0A6J6C905,0.633,382
A0A6J6G9W7,A0A6J6F845,0.464,286
A0A6J6G9W7,A0A2P2CF46,0.45,283
A0A6J6G9W7,A0A381RRI3,0.462,282
A0A6J6G9W7,A0A382ARZ7,0.457,280
A0A6J6G9W7,A0A645BL16,0.429,261
A0A6J6G9W7,A0A2P2CJE0,0.428,260
A0A6J6G9W7,A0A644YVS3,0.428,256
A0A6J6G9W7,A0A381RJX3,0.422,252
A0A6J6G9W7,A0A381Q4W5,0.417,250
A0A6J6G9W7,A0A0W8G662,0.416,247
A0A6J6G9W7,A0A382BJ82,0.416,247
A0A6J6G9W7,A0A644VAT7,0.414,245
A0A6J6G9W7,A0A382GPZ3,0.403,240
A0A6J6G9W7,A0A382FIY4,0.417,227
A0A6J6G9W7,A0A484H950,0.387,226
A0A6J6G9W7,A0A380TGZ6,0.391,226
A0A6J6G9W7,A0A381RMW8,0.386,222
A0A6J6G9W7,A0A645FCJ9,0.43,212
A0A6C0C3J4,A0A6C0LR39,0.47,986
A0A6C0C3J4,A0A6C0KI02,0.469,982
A0A6C0C3J4,A0A6C0ETN6,0.465,981
A0A6C0C3J4,A0A6C0E9T3,0.455,956
A0A6C0C3J4,A0A6C0DLX9,0.452,949
A0A6C0C3J4,A0A6C0ASE4,0.444,925
A0A6C0C3J4,A0A6C0JJL0,0.44,925
A0A6C0C3J4,A0A6C0DRP4,0.441,916
A0A6C0C3J4,A0A6C0B3Y6,0.434,898
A0A6C0C3J4,A0A6C0H329,0.437,895
A0A6C0C3J4,A0A6C0D598,0.434,885
A0A6C0C3J4,A0A6C0D834,0.429,872
A0A6C0C3J4,A0A6C0B911,0.421,863
A0A6C0C3J4,A0A6C0B248,0.425,862
A0A6C0C3J4,A0A6C0F7I1,0.426,860
A0A6C0C3J4,A0A6C0HQM4,0.424,859
A0A6C0C3J4,A0A6C0CK20,0.421,851
A0A6C0C3J4,A0A6C0LDL2,0.415,844
A0A6C0C3J4,A0A6C0F3T9,0.419,841
A0A6C0C3J4,A0A6C0CXA7,0.416,837
A0A6C0C3J4,A0A6C0DLZ7,0.413,836
A0A6C0C3J4,A0A6C0EFD9,0.412,836
A0A6C0C3J4,A0A6C0BC56,0.411,833
A0A6C0C3J4,A0A6C0ESH1,0.412,827
A0A6C0C3J4,A0A6C0E7Y7,0.407,824
A0A6C0C3J4,A0A6C0AR55,0.405,816
A0A6C0C3J4,A0A6C0I8D9,0.405,815
A0A6C0C3J4,A0A6C0LKA9,0.396,781
A0A6C0C3J4,A0A6C0JAK9,0.391,780
A0A6C0C3J4,A0A6C0AXS7,0.384,763
A0A6C0C3J4,A0A6C0BXB1,0.382,751
A0A6C0C3J4,A0A6C0CQ84,0.377,743
A0A6C0C3J4,A0A6C0H424,0.351,667
A0A6C0C3J4,A0A6C0C4N0,0.35,665
A0A6C0C3J4,A0A6C0AUP9,0.335,613
A0A6C0C3J4,A0A6C0D714,0.333,607
A0A6C0C3J4,A0A6C0KP26,0.332,604
A0A6C0C3J4,A0A6C0KWD2,0.361,194
A0A6C0C3J4,A0A6A7SHL6,0.367,72
A0A381PW46,A0A381NFA7,0.45,609
A0A381PW46,A0A380TFT6,0.361,460
A0A381PW46,A0A381R9Y2,0.326,383
A0A381PW46,A0A381SW73,0.333,330
A0A382BSA6,A0A381Z5C4,0.63,238
A0A382BSA6,A0A381XUL9,0.616,236
A0A382BSA6,A0A381NTP3,0.604,230
A0A382BSA6,A0A381UKZ5,0.541,203
A0A382BSA6,A0A644TR86,0.485,176
A0A382BSA6,A0A381YCQ9,0.483,175
A0A382BSA6,A0A644YX24,0.487,175
A0A382BSA6,A0A645B269,0.458,157
A0A382BSA6,A0A645G9J6,0.453,157
A0A382BSA6,A0A2H9TBZ9,0.46,157
A0A382BSA6,A0A381TAP7,0.459,156
A0A382BSA6,A0A644ZDJ2,0.444,155
A0A382BSA6,A0A6J6F1Z8,0.431,153
A0A382BSA6,A0A381SM42,0.44,153
A0A382BSA6,A0A644XIS9,0.446,150
A0A382BSA6,A0A381ZVK2,0.457,148
A0A382BSA6,A0A6J5ZDS3,0.416,144
A0A382BSA6,A0A645BU40,0.431,144
A0A382BSA6,A0A644WAX3,0.406,143
A0A382BSA6,A0A6J6BED1,0.406,143
A0A382BSA6,A0A382TN05,0.415,143
A0A382BSA6,A0A381PM74,0.412,139
A0A382BSA6,A0A6J6AEE3,0.406,135
A0A382BSA6,A0A381Q0T0,0.42,134
A0A382BSA6,A0A094PXK9,0.403,134
A0A382BSA6,A0A381QJF2,0.453,132
A0A382BSA6,A0A382JQW3,0.382,129
A0A382BSA6,A0A382WL77,0.396,129
A0A382BSA6,A0A6J6BMV8,0.382,129
A0A382BSA6,A0A6J6FLY4,0.372,129
A0A382BSA6,A0A6J5ZBM4,0.393,128
A0A382BSA6,A0A6J6ASR3,0.388,126
A0A382BSA6,A0A381RUV8,0.37,125
A0A382BSA6,A0A381UMH9,0.362,124
A0A382BSA6,A0A6J6D5R5,0.368,122
A0A382BSA6,A0A094PRH3,0.385,122
A0A382BSA6,A0A382BC58,0.365,121
A0A382BSA6,A0A381YI49,0.446,119
A0A382BSA6,A0A2P2C335,0.366,116
A0A382BSA6,A0A382YNP5,0.349,115
A0A382BSA6,A0A383EVV5,0.414,113
A0A382BSA6,A0A380TAR9,0.359,113
A0A382BSA6,A0A382J1X9,0.347,112
A0A382BSA6,A0A2P2C6S4,0.341,111
A0A382BSA6,A0A382AXX9,0.359,110
A0A382BSA6,A0A6J6CM05,0.337,107
A0A382BSA6,A0A484RFP6,0.321,98
A0A382BSA6,A0A382BJP1,0.305,96
A0A382BSA6,A0A382X5I9,0.344,96
A0A382BSA6,A0A381W471,0.321,94
A0A644W908,A0A644WQ43,0.4,552
A0A644W908,A0A381VVK0,0.364,490
A0A6J6BMV8,A0A6J6FLY4,0.702,295
A0A6J6BMV8,A0A6J6AEE3,0.495,187
A0A6J6BMV8,A0A6J6BED1,0.479,183
A0A6J6BMV8,A0A6J6ASR3,0.486,182
A0A6J6BMV8,A0A094PXK9,0.476,181
A0A6J6BMV8,A0A6J5ZBM4,0.481,180
A0A6J6BMV8,A0A6J6F1Z8,0.462,174
A0A6J6BMV8,A0A6J5ZDS3,0.445,167
A0A6J6BMV8,A0A382TN05,0.437,159
A0A6J6BMV8,A0A2P2C335,0.42,156
A0A6J6BMV8,A0A381Z5C4,0.41,149
A0A6J6BMV8,A0A2P2C6S4,0.417,148
A0A6J6BMV8,A0A381XUL9,0.413,148
